Model,F1 Score,Precision,Accuracy
K-nearest Neighbours,0.622903631868615,0.5809361679553621,0.7470588235294118
Support Vector Classification,0.6896588486140726,0.6296530222743816,0.8047058823529412
Random Forest,0.9205003720254422,0.875014685014685,0.971764705882353
