Model,F1 Score,Precision,Accuracy
K-nearest Neighbours,0.6613379150536178,0.6105827698623668,0.7788235294117647
Support Vector Classification,0.683353582006989,0.6234985573279488,0.8141176470588235
Random Forest,0.9162590758131334,0.8688174225727874,0.9705882352941176
