Model,F1 Score,Precision,Accuracy
K-nearest Neighbours,0.6688909215998998,0.6189695550351287,0.7634011090573013
Support Vector Classification,0.717926526932612,0.6586507936507937,0.8243992606284658
Random Forest,0.9327826132826923,0.8976442507264425,0.977818853974122
