Model,F1 Score,Precision,Accuracy
K-nearest Neighbours,0.6391962458215047,0.5917607608104789,0.7623529411764706
Support Vector Classification,0.6692838914421979,0.6062149569612256,0.7917647058823529
Random Forest,0.9222414555376149,0.8776907669917655,0.9729411764705882
