Model,F1 Score,Precision,Accuracy
K-nearest Neighbours,0.674290173567735,0.620106122323804,0.8388235294117647
Support Vector Classification,0.8011512335025494,0.7765050457692079,0.9247058823529412
Random Forest,0.939213049150228,0.9038488441226873,0.9788235294117648
