Model,F1 Score,Precision,Accuracy
K-nearest Neighbours,0.6418584466958595,0.6015279182114369,0.7588235294117647
Support Vector Classification,0.6532974532974533,0.5966408792495749,0.7776470588235294
Random Forest,0.9521020042759174,0.9254860060722291,0.9811764705882353
