Model,F1 Score,Precision,Accuracy
K-nearest Neighbours,0.7080970112723294,0.6672654241902406,0.8558225508317929
Support Vector Classification,0.8180740740740741,0.8089947089947089,0.9260628465804066
Random Forest,0.9560000186126093,0.9350583653631057,0.9833641404805915
