Model,F1 Score,Precision,Accuracy
K-nearest Neighbours,0.6396680852610189,0.5932386241080428,0.7552941176470588
Support Vector Classification,0.66257230576278,0.5985521986456548,0.7941176470588235
Random Forest,0.9326549810056353,0.8883468834688347,0.9788235294117648
