Model,F1 Score,Precision,Accuracy
K-nearest Neighbours,0.6250524859766894,0.5918287097052978,0.7294117647058823
Support Vector Classification,0.6208405602161574,0.5696963760082572,0.7611764705882353
Random Forest,0.9248590612310047,0.8815380813653957,0.9729411764705882
